,state,county,candidate,party,total_votes_x,won,total_votes_y
178,Florida,Dixie County,Gloria La Riva,PSL,2,False,11067456
179,Florida,Duval County,Joe Biden,DEM,252556,True,11067456
180,Florida,Duval County,Donald Trump,REP,233762,False,11067456
181,Florida,Duval County,Jo Jorgensen,LIB,4788,False,11067456
182,Florida,Duval County,Howie Hawkins,GRN,772,False,11067456
183,Florida,Duval County,Gloria La Riva,PSL,328,False,11067456
184,Florida,Duval County,Rocky De La Fuente,ALI,319,False,11067456
185,Florida,Duval County,Don Blankenship,CST,218,False,11067456
186,Florida,Duval County, Write-ins,WRI,77,False,11067456
187,Florida,Escambia County,Donald Trump,REP,96674,True,11067456
188,Florida,Escambia County,Joe Biden,DEM,70929,False,11067456
189,Florida,Escambia County,Jo Jorgensen,LIB,2146,False,11067456
190,Florida,Escambia County,Howie Hawkins,GRN,256,False,11067456
191,Florida,Escambia County,Gloria La Riva,PSL,137,False,11067456
192,Florida,Escambia County,Rocky De La Fuente,ALI,105,False,11067456
193,Florida,Escambia County,Don Blankenship,CST,92,False,11067456
194,Florida,Escambia County, Write-ins,WRI,33,False,11067456
195,Florida,Flagler County,Donald Trump,REP,43043,True,11067456
196,Florida,Flagler County,Joe Biden,DEM,28161,False,11067456
197,Florida,Flagler County,Jo Jorgensen,LIB,359,False,11067456
198,Florida,Flagler County,Howie Hawkins,GRN,69,False,11067456
199,Florida,Flagler County,Rocky De La Fuente,ALI,30,False,11067456
200,Florida,Flagler County,Gloria La Riva,PSL,29,False,11067456
201,Florida,Flagler County,Don Blankenship,CST,20,False,11067456
202,Florida,Flagler County, Write-ins,WRI,5,False,11067456
203,Florida,Franklin County,Donald Trump,REP,4675,True,11067456
204,Florida,Franklin County,Joe Biden,DEM,2120,False,11067456
205,Florida,Franklin County,Jo Jorgensen,LIB,27,False,11067456
206,Florida,Franklin County,Howie Hawkins,GRN,12,False,11067456
207,Florida,Franklin County,Gloria La Riva,PSL,8,False,11067456
208,Florida,Franklin County,Rocky De La Fuente,ALI,4,False,11067456
209,Florida,Franklin County,Don Blankenship,CST,3,False,11067456
210,Florida,Gadsden County,Joe Biden,DEM,16153,True,11067456
211,Florida,Gadsden County,Donald Trump,REP,7465,False,11067456
212,Florida,Gadsden County,Jo Jorgensen,LIB,96,False,11067456
213,Florida,Gadsden County,Howie Hawkins,GRN,21,False,11067456
214,Florida,Gadsden County,Gloria La Riva,PSL,10,False,11067456
215,Florida,Gadsden County,Don Blankenship,CST,9,False,11067456
216,Florida,Gadsden County,Rocky De La Fuente,ALI,8,False,11067456
217,Florida,Gilchrist County,Donald Trump,REP,7895,True,11067456
218,Florida,Gilchrist County,Joe Biden,DEM,1700,False,11067456
219,Florida,Gilchrist County,Jo Jorgensen,LIB,61,False,11067456
220,Florida,Gilchrist County,Howie Hawkins,GRN,13,False,11067456
221,Florida,Gilchrist County,Rocky De La Fuente,ALI,6,False,11067456
222,Florida,Gilchrist County,Don Blankenship,CST,5,False,11067456
223,Florida,Gilchrist County, Write-ins,WRI,3,False,11067456
224,Florida,Gilchrist County,Gloria La Riva,PSL,2,False,11067456
225,Florida,Glades County,Donald Trump,REP,3782,True,11067456
226,Florida,Glades County,Joe Biden,DEM,1385,False,11067456
227,Florida,Glades County,Jo Jorgensen,LIB,21,False,11067456
228,Florida,Glades County,Howie Hawkins,GRN,4,False,11067456
229,Florida,Glades County,Gloria La Riva,PSL,1,False,11067456
230,Florida,Glades County,Don Blankenship,CST,0,False,11067456
231,Florida,Glades County,Rocky De La Fuente,ALI,0,False,11067456
232,Florida,Gulf County,Donald Trump,REP,6113,True,11067456
233,Florida,Gulf County,Joe Biden,DEM,1985,False,11067456
234,Florida,Gulf County,Jo Jorgensen,LIB,48,False,11067456
235,Florida,Gulf County,Don Blankenship,CST,6,False,11067456
236,Florida,Gulf County,Rocky De La Fuente,ALI,6,False,11067456
237,Florida,Gulf County,Howie Hawkins,GRN,5,False,11067456
238,Florida,Gulf County,Gloria La Riva,PSL,0,False,11067456
239,Florida,Gulf County, Write-ins,WRI,0,False,11067456
240,Florida,Hamilton County,Donald Trump,REP,3815,True,11067456
241,Florida,Hamilton County,Joe Biden,DEM,1963,False,11067456
242,Florida,Hamilton County,Jo Jorgensen,LIB,33,False,11067456
243,Florida,Hamilton County,Howie Hawkins,GRN,8,False,11067456
244,Florida,Hamilton County,Rocky De La Fuente,ALI,6,False,11067456
245,Florida,Hamilton County,Don Blankenship,CST,2,False,11067456
246,Florida,Hamilton County,Gloria La Riva,PSL,2,False,11067456
247,Florida,Hamilton County, Write-ins,WRI,1,False,11067456
248,Florida,Hardee County,Donald Trump,REP,6122,True,11067456
249,Florida,Hardee County,Joe Biden,DEM,2298,False,11067456
250,Florida,Hardee County,Jo Jorgensen,LIB,40,False,11067456
251,Florida,Hardee County,Rocky De La Fuente,ALI,10,False,11067456
252,Florida,Hardee County,Howie Hawkins,GRN,8,False,11067456
253,Florida,Hardee County,Gloria La Riva,PSL,6,False,11067456
254,Florida,Hardee County,Don Blankenship,CST,1,False,11067456
255,Florida,Hendry County,Donald Trump,REP,7906,True,11067456
256,Florida,Hendry County,Joe Biden,DEM,4929,False,11067456
257,Florida,Hendry County,Jo Jorgensen,LIB,65,False,11067456
258,Florida,Hendry County,Howie Hawkins,GRN,13,False,11067456
259,Florida,Hendry County,Rocky De La Fuente,ALI,11,False,11067456
260,Florida,Hendry County,Gloria La Riva,PSL,8,False,11067456
261,Florida,Hendry County,Don Blankenship,CST,7,False,11067456
262,Florida,Hendry County, Write-ins,WRI,1,False,11067456
263,Florida,Hernando County,Donald Trump,REP,70412,True,11067456
264,Florida,Hernando County,Joe Biden,DEM,37519,False,11067456
265,Florida,Hernando County,Jo Jorgensen,LIB,686,False,11067456
266,Florida,Hernando County,Howie Hawkins,GRN,151,False,11067456
267,Florida,Hernando County,Rocky De La Fuente,ALI,62,False,11067456
268,Florida,Hernando County,Gloria La Riva,PSL,44,False,11067456
269,Florida,Hernando County,Don Blankenship,CST,40,False,11067456
270,Florida,Hernando County, Write-ins,WRI,8,False,11067456
271,Florida,Highlands County,Donald Trump,REP,34873,True,11067456
272,Florida,Highlands County,Joe Biden,DEM,16938,False,11067456
273,Florida,Highlands County,Jo Jorgensen,LIB,223,False,11067456
274,Florida,Highlands County,Howie Hawkins,GRN,53,False,11067456
275,Florida,Highlands County,Don Blankenship,CST,28,False,11067456
276,Florida,Highlands County,Rocky De La Fuente,ALI,28,False,11067456
277,Florida,Highlands County,Gloria La Riva,PSL,24,False,11067456
278,Florida,Highlands County, Write-ins,WRI,3,False,11067456
279,Florida,Hillsborough County,Joe Biden,DEM,376367,True,11067456
280,Florida,Hillsborough County,Donald Trump,REP,327398,False,11067456
281,Florida,Hillsborough County,Jo Jorgensen,LIB,5665,False,11067456
282,Florida,Hillsborough County,Howie Hawkins,GRN,1187,False,11067456
283,Florida,Hillsborough County,Rocky De La Fuente,ALI,574,False,11067456
284,Florida,Hillsborough County,Gloria La Riva,PSL,529,False,11067456
285,Florida,Hillsborough County,Don Blankenship,CST,270,False,11067456
286,Florida,Hillsborough County, Write-ins,WRI,73,False,11067456
287,Florida,Holmes County,Donald Trump,REP,8080,True,11067456
288,Florida,Holmes County,Joe Biden,DEM,924,False,11067456
289,Florida,Holmes County,Jo Jorgensen,LIB,48,False,11067456
290,Florida,Holmes County,Howie Hawkins,GRN,9,False,11067456
291,Florida,Holmes County,Don Blankenship,CST,4,False,11067456
292,Florida,Holmes County,Rocky De La Fuente,ALI,2,False,11067456
